size,threads,time
250,    1,      0.000897
250,    2,      0.000391
250,    4,      0.000447
250,    8,      0.001334
500,    1,      0.004539
500,    2,      0.000720
500,    4,      0.000939
500,    8,      0.001005
750,    1,      0.009745
750,    2,      0.001296
750,    4,      0.001108
750,    8,      0.001184
1000,   1,      0.022413
1000,   2,      0.002186
1000,   4,      0.001466
1000,   8,      0.002485
2000,   1,      0.078242
2000,   2,      0.007662
2000,   4,      0.005084
2000,   8,      0.006424
